year,municipality_id,municipality_name,vote_percentage,party_id,party_name,party_name_short
2006,4102,Cheb,0.45,137,Strana zdravého rozumu,SZR
2006,4102,Cheb,0.08,140,Balbínova poetická strana,BPS
2006,4102,Cheb,0.43,79,"Právo a Spravedlnost-ANO rodině,NE korupci a krim.",PaS
2006,4102,Cheb,0.17,88,NEZÁVISLÍ,NEZ
2006,4102,Cheb,0.12,55,"Koruna Česká (monar.strana Čech, Moravy a Slezska)",KČ
2006,4102,Cheb,31.84,53,Občanská demokratická strana,ODS
2006,4102,Cheb,35.42,7,Česká strana sociálně demokratická,ČSSD
2006,4102,Cheb,1.2,129,SNK Evropští demokraté,SNK ED
2006,4102,Cheb,0.29,102,Unie svobody - Demokratická unie,US-DEU
2006,4102,Cheb,0.48,98,"Pravý Blok-str.za ODVOLATELNOST politiků,REFERENDA",PB
2006,4102,Cheb,0.04,178,4 VIZE-www.4vize.cz,4 VIZE
2006,4102,Cheb,6.77,5,Strana zelených,SZ
2006,4102,Cheb,16.96,47,Komunistická strana Čech a Moravy,KSČM
2006,4102,Cheb,0.1,338,Koalice pro Českou republiku,Koal_ČR
2006,4102,Cheb,0.36,152,Národní strana,NS
2006,4102,Cheb,4.43,1,Křesťan.a demokrat.unie-Českosl.strana lidová,KDU-ČSL
2006,4102,Cheb,0.54,172,NEZÁVISLÍ DEMOKRATÉ (předseda V.Železný),NEZ/DEM
2006,4102,Cheb,0.22,171,STRANA ROVNOST ŠANCÍ,SRŠ
2006,4101,Aš,0.68,137,Strana zdravého rozumu,SZR
2006,4101,Aš,0.22,140,Balbínova poetická strana,BPS
2006,4101,Aš,0.22,79,"Právo a Spravedlnost-ANO rodině,NE korupci a krim.",PaS
2006,4101,Aš,0.38,88,NEZÁVISLÍ,NEZ
2006,4101,Aš,0.1,55,"Koruna Česká (monar.strana Čech, Moravy a Slezska)",KČ
2006,4101,Aš,33.41,53,Občanská demokratická strana,ODS
2006,4101,Aš,33.19,7,Česká strana sociálně demokratická,ČSSD
2006,4101,Aš,1.1,129,SNK Evropští demokraté,SNK ED
2006,4101,Aš,1.2,102,Unie svobody - Demokratická unie,US-DEU
2006,4101,Aš,0.46,98,"Pravý Blok-str.za ODVOLATELNOST politiků,REFERENDA",PB
2006,4101,Aš,0.14,178,4 VIZE-www.4vize.cz,4 VIZE
2006,4101,Aš,6.7,5,Strana zelených,SZ
2006,4101,Aš,17.27,47,Komunistická strana Čech a Moravy,KSČM
2006,4101,Aš,0.12,338,Koalice pro Českou republiku,Koal_ČR
2006,4101,Aš,0.4,152,Národní strana,NS
2006,4101,Aš,3.28,1,Křesťan.a demokrat.unie-Českosl.strana lidová,KDU-ČSL
2006,4101,Aš,0.8,172,NEZÁVISLÍ DEMOKRATÉ (předseda V.Železný),NEZ/DEM
2006,4101,Aš,0.28,171,STRANA ROVNOST ŠANCÍ,SRŠ
2006,4105,Mariánské Lázně,0.6,137,Strana zdravého rozumu,SZR
2006,4105,Mariánské Lázně,0.12,140,Balbínova poetická strana,BPS
2006,4105,Mariánské Lázně,0.14,79,"Právo a Spravedlnost-ANO rodině,NE korupci a krim.",PaS
2006,4105,Mariánské Lázně,0.68,88,NEZÁVISLÍ,NEZ
2006,4105,Mariánské Lázně,0.11,55,"Koruna Česká (monar.strana Čech, Moravy a Slezska)",KČ
2006,4105,Mariánské Lázně,44.29,53,Občanská demokratická strana,ODS
2006,4105,Mariánské Lázně,28.33,7,Česká strana sociálně demokratická,ČSSD
2006,4105,Mariánské Lázně,2.29,129,SNK Evropští demokraté,SNK ED
2006,4105,Mariánské Lázně,0.16,102,Unie svobody - Demokratická unie,US-DEU
2006,4105,Mariánské Lázně,0.51,98,"Pravý Blok-str.za ODVOLATELNOST politiků,REFERENDA",PB
2006,4105,Mariánské Lázně,0.05,178,4 VIZE-www.4vize.cz,4 VIZE
2006,4105,Mariánské Lázně,6.68,5,Strana zelených,SZ
